Putaran satu naik

Temperature,Pressure,Altitude
31.08,995.89,145.57
31.42,995.95,145.05
31.44,995.96,144.93
31.46,995.96,144.94
31.46,995.90,145.43
31.47,995.88,145.59
31.47,995.84,146.00
31.47,995.82,146.13
31.47,995.79,146.38
31.48,995.78,146.48
31.48,995.76,146.64


Putaran Satu Turun

Temperature,Pressure,Altitude
31.08,995.55,148.39
31.43,995.62,147.86
31.45,995.62,147.80
31.46,995.64,147.65
31.46,995.67,147.37
31.45,995.73,146.87
31.44,995.75,146.75
31.43,995.79,146.38
31.43,995.76,146.63
31.42,995.79,146.43
