Putaran Tiga naik

Temperature,Pressure,Altitude
31.20,995.93,145.25
31.54,995.97,144.84
31.56,995.92,145.29
31.58,995.88,145.62
31.58,995.88,145.64
31.58,995.85,145.90
31.59,995.84,145.97
24.56,760.13,2359.66
24.56,760.13,2359.66
24.56,760.13,2359.66

Putaran Tiga Turun

Temperature,Pressure,Altitude
31.42,995.58,148.17
31.44,995.60,147.96
31.43,995.66,147.52
31.43,995.64,147.66
31.44,995.67,147.41
31.44,995.71,147.08
31.43,995.72,147.01
31.40,995.77,146.53
31.40,995.76,146.65
31.41,995.75,146.75

